Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login [setup],500,0,200,272.6494489720208,33.51688699967781,1407.2564429998238,278.0,5.606611874834599,0.0,200,280,350,430,620,790,1100,1300,1400,1400,1400
GET,/api/v1/auth/me,3426,0,260,278.7621159477687,2.7379859993743594,859.5585709999796,162.0,38.416504566366676,0.0,260,310,340,370,440,500,570,640,790,860,860
GET,/api/v1/leaderboard,5198,0,270,287.11146870835825,5.092112000056659,944.4163469997875,3407.0,58.286337050780496,0.0,270,320,350,380,440,500,590,650,850,940,940
GET,/api/v1/programs,7220,0,260,269.9994470182847,2.2355620003509102,1030.086454999946,448.0,80.95947547261162,0.0,260,310,340,360,430,490,560,630,820,1000,1000
POST,/api/v1/submissions [POST],8507,0,1000,1042.4929094328268,6.135781000011775,2705.3713780005637,532.7845303867404,95.39089443843586,0.0,1000,1200,1300,1400,1600,1800,1900,2000,2400,2700,2700
GET,/api/v1/submissions/me,5122,0,530,543.1607914574427,3.5019509996345732,1493.9374699997643,8291.752049980476,57.43413204580563,0.0,530,610,670,710,820,920,1000,1100,1300,1500,1500
,Aggregated,29973,0,380,539.943346009115,2.2355620003509102,2705.3713780005637,2290.09141560738,336.0939554488349,0.0,380,560,780,900,1200,1400,1700,1800,2200,2500,2700
