Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login [setup],500,500,60,69.26993991000927,19.010615999832225,180.5776050005079,339.0,5.610494044896237,5.610494044896237,60,78,91,100,120,130,150,170,180,180,180
GET,/api/v1/leaderboard,8172,0,8,9.178951099357326,4.784708999977738,67.18012799956341,3407.0,91.6979146697841,0.0,8,9,9,10,12,16,29,39,58,67,67
GET,/api/v1/programs,11635,1,4,7.132795299444262,0.7894609998402302,66.08879399936995,447.9614954877525,130.55619642473545,0.011220988089792475,4,5,6,7,11,29,42,48,61,65,66
,Aggregated,20307,501,6,9.486159041118151,0.7894609998402302,180.5776050005079,1636.063229428276,227.86460513941577,5.62171503298603,6,8,8,9,14,34,51,68,130,180,180
