Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login [setup],492,491,3700,13049.217647583313,259.53065199973935,71746.72981799995,52.72357723577236,4.1361153885194195,4.127708649924868,3700,19000,21000,22000,25000,62000,70000,71000,72000,72000,72000
GET,/api/v1/auth/me,5,0,1100,2096.201471200038,185.3268630002276,4783.137991000331,162.0,0.04203369297275833,0.0,1100,3700,3700,4800,4800,4800,4800,4800,4800,4800,4800
GET,/api/v1/leaderboard,2844,0,1300,3710.5715659395046,15.579917999275494,61225.46330399928,2236.0,23.90876456290494,0.0,1300,3000,4300,5900,10000,18000,22000,25000,32000,61000,61000
GET,/api/v1/programs,4147,0,1100,3302.9575613590378,22.769388000597246,60132.204208000985,2.0,34.86274495160576,0.0,1100,2600,3800,4800,8600,17000,22000,25000,31000,60000,60000
GET,/api/v1/submissions/me,7,0,890,1231.2898580000494,252.19779999861203,4251.949065999725,2.0,0.05884717016186166,0.0,890,1300,1400,1400,4300,4300,4300,4300,4300,4300,4300
,Aggregated,7495,491,1300,4094.669200728594,15.579917999275494,71746.72981799995,853.1343562374917,63.00850576616474,4.127708649924868,1300,3000,4200,5900,11000,20000,24000,28000,70000,72000,72000
