Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/api/v1/auth/login [setup],HTTPError('422 Client Error: Unprocessable Entity for url: /api/v1/auth/login [setup]'),500,2026-08-13T05:50:26Z,2026-08-13T05:50:35Z
GET,/api/v1/programs,RemoteDisconnected('Remote end closed connection without response'),1,2026-08-13T05:50:41Z,2026-08-13T05:50:41Z
