Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login,73924,73924,17,23.1451430790942,1.1725600006684544,278.50595800009614,63.21946864347167,826.6550575891619,826.6550575891619,17,24,30,34,47,62,87,110,180,260,280
POST,/api/v1/auth/login [setup],150,150,54,55.67187245334935,27.846314000271377,96.87330199994904,143.0,1.6773748530703734,1.6773748530703734,54,61,64,68,73,84,93,96,97,97,97
GET,/api/v1/leaderboard,6123,1,28,37.94720370064412,1.4867449999655946,401.2830780002332,3406.4435734117264,68.47044150233263,0.011182499020469156,28,39,47,54,74,100,140,160,280,400,400
GET,/api/v1/programs,9079,2,25,33.702678183499444,1.0147149996555527,392.27906899941445,447.90131071703934,101.52590860683947,0.022364998040938312,25,35,42,49,67,94,130,150,330,390,390
,Aggregated,89276,74077,18,25.288651836261124,1.0147149996555527,401.2830780002332,331.76929969980733,998.3287825514043,828.3659799392937,18,26,32,37,52,69,97,120,200,340,400
