Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/api/v1/auth/login [setup],HTTPError('429 Client Error: Too Many Requests for url: /api/v1/auth/login [setup]'),90,2026-08-13T07:42:08Z,2026-08-13T07:42:16Z
POST,/api/v1/auth/login [setup],HTTPError('401 Client Error: Unauthorized for url: /api/v1/auth/login [setup]'),9,2026-08-13T07:42:08Z,2026-08-13T07:42:08Z
