Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login [setup],100,99,150,196.27213656000094,73.17599299858557,1348.9662899992254,58.4,1.6916301287867204,1.6747138274988531,150,170,190,260,500,510,520,1300,1300,1300,1300
GET,/api/v1/auth/me,9,0,32,55.64115744406687,8.498438999595237,205.67401600055746,162.0,0.15224671159080483,0.0,32,35,43,130,210,210,210,210,210,210,210
GET,/api/v1/leaderboard,1024,0,35,94.06185874808415,9.033887999976287,1518.7006889991608,2236.0,17.322292518776017,0.0,35,57,84,110,230,330,700,1000,1500,1500,1500
GET,/api/v1/programs,1466,0,37,98.7164034522075,7.464587999493233,1578.0874819993187,2.0,24.79929768801332,0.0,37,61,90,120,230,360,690,1200,1600,1600,1600
GET,/api/v1/submissions/me,10,0,22,185.36463219988946,11.094337000031373,1216.6584560000047,2.0,0.16916301287867203,0.0,31,39,230,260,1200,1200,1200,1200,1200,1200,1200
,Aggregated,2609,99,38,100.8122733667959,7.464587999493233,1578.0874819993187,881.5308547336144,44.13463006004553,1.6747138274988531,38,66,100,130,230,370,690,1100,1500,1600,1600
