Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/leaderboard,610,0,26,50.57600344594813,10.33402000030037,1001.0570340000413,2236.0,10.326652316052154,0.0,26,35,42,52,74,250,400,490,1000,1000,1000
GET,/api/v1/programs,807,0,28,64.7429032688788,8.538341000530636,1172.1091769995837,2.0,13.661653145990309,0.0,28,40,53,65,120,240,370,1200,1200,1200,1200
,Aggregated,1417,0,27,58.64423785463201,8.538341000530636,1172.1091769995837,963.7078334509528,23.98830546204246,0.0,27,37,48,58,100,250,400,510,1200,1200,1200
